1780685378.579753 server started (67287): version 3.6b, socket /private/tmp/tmux-501/default, protocol 8
1780685378.579765 on Darwin 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:41:26 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T8132
1780685378.579771 using libevent 2.1.12-stable select
1780685378.579775 using utf8proc 2.11.3
1780685378.579777 using ncurses 6.6 20251230
1780685378.580069 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1780685378.580071 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1780685378.580073 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1780685378.580074 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1780685378.580076 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1780685378.580077 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1780685378.580079 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1780685378.580081 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1780685378.580082 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1780685378.580084 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1780685378.580086 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1780685378.580088 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1780685378.580089 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1780685378.580091 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1780685378.580093 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1780685378.580094 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1780685378.580096 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1780685378.580098 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1780685378.580099 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1780685378.580101 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1780685378.580102 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1780685378.580104 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1780685378.580106 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1780685378.580107 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1780685378.580109 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1780685378.580111 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1780685378.580112 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1780685378.580114 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1780685378.580116 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1780685378.580117 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1780685378.580119 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1780685378.580121 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1780685378.580122 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1780685378.580124 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1780685378.580126 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1780685378.580127 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1780685378.580129 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1780685378.580130 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1780685378.580132 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1780685378.580134 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1780685378.580135 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1780685378.580137 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1780685378.580139 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1780685378.580140 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1780685378.580142 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1780685378.580144 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1780685378.580145 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1780685378.580147 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1780685378.580149 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1780685378.580150 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1780685378.580152 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1780685378.580156 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1780685378.580158 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1780685378.580161 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1780685378.580162 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1780685378.580164 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1780685378.580166 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1780685378.580167 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1780685378.580169 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1780685378.580171 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1780685378.580173 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1780685378.580174 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1780685378.580176 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1780685378.580178 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1780685378.580179 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1780685378.580181 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1780685378.580183 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1780685378.580184 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1780685378.580186 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1780685378.580188 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1780685378.580189 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1780685378.580191 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1780685378.580193 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1780685378.580194 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1780685378.580196 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1780685378.580198 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1780685378.580199 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1780685378.580201 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1780685378.580203 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1780685378.580204 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1780685378.580206 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1780685378.580208 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1780685378.580209 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1780685378.580211 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1780685378.580213 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1780685378.580214 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1780685378.580216 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1780685378.580218 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1780685378.580219 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1780685378.580221 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1780685378.580223 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1780685378.580224 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1780685378.580226 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1780685378.580228 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1780685378.580230 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1780685378.580231 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1780685378.580233 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1780685378.580235 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1780685378.580236 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1780685378.580246 yylex_token: end at WS
1780685378.580248 yylex_token: bind
1780685378.580250 yylex_token: end at WS
1780685378.580252 yylex_token: -N
1780685378.580254 yylex_token: end at WS
1780685378.580256 yylex_token: Send the prefix key
1780685378.580258 yylex_token: end at WS
1780685378.580259 yylex_token: C-b
1780685378.580264 yylex_token: end at WS
1780685378.580266 yylex_token: send-prefix
1780685378.580269 cmd_parse_build_commands 0:0: bind
1780685378.580270 cmd_parse_build_commands 0:1: -N
1780685378.580272 cmd_parse_build_commands 0:2: Send the prefix key
1780685378.580273 cmd_parse_build_commands 0:3: C-b
1780685378.580275 cmd_parse_build_commands 0:4 0:0: send-prefix
1780685378.580279 cmd_parse_build_commands 0:0: send-prefix
1780685378.580283 args_parse: flags end at 1 of 1
1780685378.580285 cmd_parse_build_commands: send-prefix
1780685378.580287 args_parse_flags: next -N
1780685378.580289 args_parse_flag_argument: -N = Send the prefix key
1780685378.580291 args_parse_flags: next C-b
1780685378.580292 args_parse: flags end at 3 of 5
1780685378.580294 args_parse: 3 = C-b (type STRING)
1780685378.580297 args_parse: 4 = send-prefix (type COMMANDS)
1780685378.580303 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1780685378.580307 cmdq_get_command: [bind-key/0xb83028000] group 10
1780685378.580309 cmdq_append <global>: [bind-key/0xb83028000]
1780685378.580311 yylex_token: end at WS
1780685378.580313 yylex_token: bind
1780685378.580315 yylex_token: end at WS
1780685378.580316 yylex_token: -N
1780685378.580319 yylex_token: end at WS
1780685378.580320 yylex_token: Rotate through the panes
1780685378.580322 yylex_token: end at WS
1780685378.580323 yylex_token: C-o
1780685378.580325 yylex_token: end at WS
1780685378.580327 yylex_token: rotate-window
1780685378.580329 cmd_parse_build_commands 0:0: bind
1780685378.580331 cmd_parse_build_commands 0:1: -N
1780685378.580332 cmd_parse_build_commands 0:2: Rotate through the panes
1780685378.580334 cmd_parse_build_commands 0:3: C-o
1780685378.580336 cmd_parse_build_commands 0:4 0:0: rotate-window
1780685378.580338 cmd_parse_build_commands 0:0: rotate-window
1780685378.580341 args_parse: flags end at 1 of 1
1780685378.580343 cmd_parse_build_commands: rotate-window
1780685378.580344 args_parse_flags: next -N
1780685378.580346 args_parse_flag_argument: -N = Rotate through the panes
1780685378.580347 args_parse_flags: next C-o
1780685378.580349 args_parse: flags end at 3 of 5
1780685378.580351 args_parse: 3 = C-o (type STRING)
1780685378.580353 args_parse: 4 = rotate-window (type COMMANDS)
1780685378.580359 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1780685378.580361 cmdq_get_command: [bind-key/0xb83028100] group 18
1780685378.580363 cmdq_append <global>: [bind-key/0xb83028100]
1780685378.580365 yylex_token: end at WS
1780685378.580366 yylex_token: bind
1780685378.580368 yylex_token: end at WS
1780685378.580369 yylex_token: -N
1780685378.580372 yylex_token: end at WS
1780685378.580373 yylex_token: Suspend the current client
1780685378.580375 yylex_token: end at WS
1780685378.580377 yylex_token: C-z
1780685378.580379 yylex_token: end at WS
1780685378.580380 yylex_token: suspend-client
1780685378.580382 cmd_parse_build_commands 0:0: bind
1780685378.580384 cmd_parse_build_commands 0:1: -N
1780685378.580385 cmd_parse_build_commands 0:2: Suspend the current client
1780685378.580387 cmd_parse_build_commands 0:3: C-z
1780685378.580389 cmd_parse_build_commands 0:4 0:0: suspend-client
1780685378.580391 cmd_parse_build_commands 0:0: suspend-client
1780685378.580394 args_parse: flags end at 1 of 1
1780685378.580396 cmd_parse_build_commands: suspend-client
1780685378.580397 args_parse_flags: next -N
1780685378.580399 args_parse_flag_argument: -N = Suspend the current client
1780685378.580401 args_parse_flags: next C-z
1780685378.580402 args_parse: flags end at 3 of 5
1780685378.580404 args_parse: 3 = C-z (type STRING)
1780685378.580406 args_parse: 4 = suspend-client (type COMMANDS)
1780685378.580410 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1780685378.580412 cmdq_get_command: [bind-key/0xb83028200] group 26
1780685378.580414 cmdq_append <global>: [bind-key/0xb83028200]
1780685378.580415 yylex_token: end at WS
1780685378.580417 yylex_token: bind
1780685378.580419 yylex_token: end at WS
1780685378.580422 yylex_token: -N
1780685378.580424 yylex_token: end at WS
1780685378.580426 yylex_token: Select next layout
1780685378.580428 yylex_token: end at WS
1780685378.580430 yylex_token: Space
1780685378.580432 yylex_token: end at WS
1780685378.580434 yylex_token: next-layout
1780685378.580436 cmd_parse_build_commands 0:0: bind
1780685378.580437 cmd_parse_build_commands 0:1: -N
1780685378.580439 cmd_parse_build_commands 0:2: Select next layout
1780685378.580441 cmd_parse_build_commands 0:3: Space
1780685378.580442 cmd_parse_build_commands 0:4 0:0: next-layout
1780685378.580444 cmd_parse_build_commands 0:0: next-layout
1780685378.580447 args_parse: flags end at 1 of 1
1780685378.580448 cmd_parse_build_commands: next-layout
1780685378.580450 args_parse_flags: next -N
1780685378.580452 args_parse_flag_argument: -N = Select next layout
1780685378.580453 args_parse_flags: next Space
1780685378.580455 args_parse: flags end at 3 of 5
1780685378.580456 args_parse: 3 = Space (type STRING)
1780685378.580458 args_parse: 4 = next-layout (type COMMANDS)
1780685378.580462 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1780685378.580464 cmdq_get_command: [bind-key/0xb83028300] group 34
1780685378.580466 cmdq_append <global>: [bind-key/0xb83028300]
1780685378.580468 yylex_token: end at WS
1780685378.580469 yylex_token: bind
1780685378.580471 yylex_token: end at WS
1780685378.580472 yylex_token: -N
1780685378.580475 yylex_token: end at WS
1780685378.580476 yylex_token: Break pane to a new window
1780685378.580478 yylex_token: end at WS
1780685378.580479 yylex_token: !
1780685378.580481 yylex_token: end at WS
1780685378.580482 yylex_token: break-pane
1780685378.580484 cmd_parse_build_commands 0:0: bind
1780685378.580486 cmd_parse_build_commands 0:1: -N
1780685378.580487 cmd_parse_build_commands 0:2: Break pane to a new window
1780685378.580489 cmd_parse_build_commands 0:3: !
1780685378.580491 cmd_parse_build_commands 0:4 0:0: break-pane
1780685378.580493 cmd_parse_build_commands 0:0: break-pane
1780685378.580495 args_parse: flags end at 1 of 1
1780685378.580496 cmd_parse_build_commands: break-pane
1780685378.580498 args_parse_flags: next -N
1780685378.580500 args_parse_flag_argument: -N = Break pane to a new window
1780685378.580502 args_parse_flags: next !
1780685378.580504 args_parse: flags end at 3 of 5
1780685378.580505 args_parse: 3 = ! (type STRING)
1780685378.580507 args_parse: 4 = break-pane (type COMMANDS)
1780685378.580512 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1780685378.580514 cmdq_get_command: [bind-key/0xb83028400] group 42
1780685378.580516 cmdq_append <global>: [bind-key/0xb83028400]
1780685378.580518 yylex_token: end at WS
1780685378.580519 yylex_token: bind
1780685378.580521 yylex_token: end at WS
1780685378.580522 yylex_token: -N
1780685378.580525 yylex_token: end at WS
1780685378.580526 yylex_token: Split window vertically
1780685378.580528 yylex_token: end at WS
1780685378.580529 yylex_token: "
1780685378.580531 yylex_token: end at WS
1780685378.580533 yylex_token: split-window
1780685378.580534 cmd_parse_build_commands 0:0: bind
1780685378.580536 cmd_parse_build_commands 0:1: -N
1780685378.580537 cmd_parse_build_commands 0:2: Split window vertically
1780685378.580539 cmd_parse_build_commands 0:3: "
1780685378.580541 cmd_parse_build_commands 0:4 0:0: split-window
1780685378.580543 cmd_parse_build_commands 0:0: split-window
1780685378.580545 args_parse: flags end at 1 of 1
1780685378.580547 cmd_parse_build_commands: split-window
1780685378.580549 args_parse_flags: next -N
1780685378.580551 args_parse_flag_argument: -N = Split window vertically
1780685378.580552 args_parse_flags: next "
1780685378.580555 args_parse: flags end at 3 of 5
1780685378.580557 args_parse: 3 = " (type STRING)
1780685378.580559 args_parse: 4 = split-window (type COMMANDS)
1780685378.580563 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1780685378.580565 cmdq_get_command: [bind-key/0xb83028500] group 50
1780685378.580567 cmdq_append <global>: [bind-key/0xb83028500]
1780685378.580570 yylex_token: end at WS
1780685378.580571 yylex_token: bind
1780685378.580573 yylex_token: end at WS
1780685378.580574 yylex_token: -N
1780685378.580577 yylex_token: end at WS
1780685378.580578 yylex_token: List all paste buffers
1780685378.580580 yylex_token: end at WS
1780685378.580581 yylex_token: #
1780685378.580583 yylex_token: end at WS
1780685378.580585 yylex_token: list-buffers
1780685378.580587 cmd_parse_build_commands 0:0: bind
1780685378.580588 cmd_parse_build_commands 0:1: -N
1780685378.580590 cmd_parse_build_commands 0:2: List all paste buffers
1780685378.580591 cmd_parse_build_commands 0:3: #
1780685378.580593 cmd_parse_build_commands 0:4 0:0: list-buffers
1780685378.580595 cmd_parse_build_commands 0:0: list-buffers
1780685378.580597 args_parse: flags end at 1 of 1
1780685378.580599 cmd_parse_build_commands: list-buffers
1780685378.580600 args_parse_flags: next -N
1780685378.580602 args_parse_flag_argument: -N = List all paste buffers
1780685378.580604 args_parse_flags: next #
1780685378.580605 args_parse: flags end at 3 of 5
1780685378.580607 args_parse: 3 = # (type STRING)
1780685378.580608 args_parse: 4 = list-buffers (type COMMANDS)
1780685378.580613 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1780685378.580615 cmdq_get_command: [bind-key/0xb83028600] group 58
1780685378.580617 cmdq_append <global>: [bind-key/0xb83028600]
1780685378.580619 yylex_token: end at WS
1780685378.580620 yylex_token: bind
1780685378.580622 yylex_token: end at WS
1780685378.580623 yylex_token: -N
1780685378.580625 yylex_token: end at WS
1780685378.580627 yylex_token: Rename current session
1780685378.580628 yylex_token: end at WS
1780685378.580630 yylex_token: $
1780685378.580632 yylex_token: end at WS
1780685378.580633 yylex_token: command-prompt
1780685378.580635 yylex_token: end at WS
1780685378.580636 yylex_token: -I#S
1780685378.580638 yylex_token: end at WS
1780685378.580640 yylex_token: rename-session
1780685378.580642 yylex_token: end at WS
1780685378.580643 yylex_token: --
1780685378.580645 yylex_token: end at WS
1780685378.580646 yylex_token: %%
