1780684924.430684 server started (58951): version 3.6b, socket /private/tmp/tmux-501/runie-test, protocol 8
1780684924.430710 on Darwin 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:41:26 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T8132
1780684924.430716 using libevent 2.1.12-stable select
1780684924.430725 using utf8proc 2.11.3
1780684924.430731 using ncurses 6.6 20251230
1780684924.431129 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1780684924.431134 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1780684924.431139 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1780684924.431144 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1780684924.431149 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1780684924.431154 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1780684924.431163 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1780684924.431168 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1780684924.431172 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1780684924.431176 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1780684924.431180 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1780684924.431184 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1780684924.431188 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1780684924.431192 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1780684924.431196 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1780684924.431202 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1780684924.431207 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1780684924.431211 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1780684924.431215 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1780684924.431219 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1780684924.431223 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1780684924.431227 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1780684924.431231 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1780684924.431235 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1780684924.431239 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1780684924.431243 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1780684924.431247 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1780684924.431251 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1780684924.431255 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1780684924.431259 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1780684924.431263 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1780684924.431267 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1780684924.431271 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1780684924.431275 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1780684924.431279 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1780684924.431283 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1780684924.431286 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1780684924.431290 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1780684924.431294 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1780684924.431298 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1780684924.431302 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1780684924.431306 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1780684924.431310 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1780684924.431314 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1780684924.431318 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1780684924.431322 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1780684924.431326 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1780684924.431330 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1780684924.431334 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1780684924.431338 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1780684924.431342 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1780684924.431346 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1780684924.431350 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1780684924.431354 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1780684924.431358 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1780684924.431362 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1780684924.431366 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1780684924.431371 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1780684924.431375 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1780684924.431378 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1780684924.431382 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1780684924.431386 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1780684924.431395 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1780684924.431399 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1780684924.431403 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1780684924.431407 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1780684924.431411 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1780684924.431415 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1780684924.431419 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1780684924.431423 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1780684924.431427 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1780684924.431433 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1780684924.431438 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1780684924.431442 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1780684924.431446 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1780684924.431451 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1780684924.431455 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1780684924.431459 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1780684924.431463 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1780684924.431467 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1780684924.431471 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1780684924.431475 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1780684924.431479 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1780684924.431483 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1780684924.431487 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1780684924.431491 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1780684924.431495 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1780684924.431499 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1780684924.431503 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1780684924.431507 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1780684924.431511 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1780684924.431515 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1780684924.431519 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1780684924.431523 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1780684924.431527 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1780684924.431531 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1780684924.431535 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1780684924.431539 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1780684924.431543 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1780684924.431547 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1780684924.431551 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1780684924.431555 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1780684924.431559 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1780684924.431563 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1780684924.431567 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1780684924.431571 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1780684924.431575 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1780684924.431579 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1780684924.431583 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1780684924.431587 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1780684924.431591 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1780684924.431595 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1780684924.431599 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1780684924.431603 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1780684924.431607 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1780684924.431611 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1780684924.431615 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1780684924.431623 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1780684924.431629 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1780684924.431634 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1780684924.431639 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1780684924.431643 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1780684924.431647 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1780684924.431651 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1780684924.431655 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1780684924.431659 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1780684924.431663 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1780684924.431667 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1780684924.431671 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1780684924.431675 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1780684924.431679 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1780684924.431683 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1780684924.431687 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1780684924.431691 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1780684924.431695 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1780684924.431699 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1780684924.431703 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1780684924.431707 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1780684924.431711 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1780684924.431715 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1780684924.431719 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1780684924.431723 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1780684924.431727 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1780684924.431731 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1780684924.431735 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1780684924.431739 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1780684924.431743 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1780684924.431747 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1780684924.431751 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1780684924.431755 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1780684924.431759 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1780684924.431763 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1780684924.431767 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1780684924.431771 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1780684924.431775 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1780684924.431779 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1780684924.431784 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1780684924.431788 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1780684924.431792 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1780684924.431796 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1780684924.431800 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1780684924.431804 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1780684924.431808 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1780684924.431812 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1780684924.431816 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1780684924.431835 yylex_token: end at WS
1780684924.431840 yylex_token: bind
1780684924.431845 yylex_token: end at WS
1780684924.431849 yylex_token: -N
1780684924.431855 yylex_token: end at WS
1780684924.431859 yylex_token: Send the prefix key
1780684924.431863 yylex_token: end at WS
1780684924.431867 yylex_token: C-b
1780684924.431877 yylex_token: end at WS
1780684924.431881 yylex_token: send-prefix
1780684924.431886 cmd_parse_build_commands 0:0: bind
1780684924.431890 cmd_parse_build_commands 0:1: -N
1780684924.431894 cmd_parse_build_commands 0:2: Send the prefix key
1780684924.431898 cmd_parse_build_commands 0:3: C-b
1780684924.431902 cmd_parse_build_commands 0:4 0:0: send-prefix
1780684924.431910 cmd_parse_build_commands 0:0: send-prefix
1780684924.431919 args_parse: flags end at 1 of 1
1780684924.431925 cmd_parse_build_commands: send-prefix
1780684924.431929 args_parse_flags: next -N
1780684924.431934 args_parse_flag_argument: -N = Send the prefix key
1780684924.431938 args_parse_flags: next C-b
1780684924.431942 args_parse: flags end at 3 of 5
1780684924.431946 args_parse: 3 = C-b (type STRING)
1780684924.431952 args_parse: 4 = send-prefix (type COMMANDS)
1780684924.431962 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1780684924.431971 cmdq_get_command: [bind-key/0xb8b030000] group 10
1780684924.431976 cmdq_append <global>: [bind-key/0xb8b030000]
1780684924.431981 yylex_token: end at WS
1780684924.431985 yylex_token: bind
1780684924.431989 yylex_token: end at WS
1780684924.431993 yylex_token: -N
1780684924.431999 yylex_token: end at WS
1780684924.432003 yylex_token: Rotate through the panes
1780684924.432007 yylex_token: end at WS
1780684924.432011 yylex_token: C-o
1780684924.432016 yylex_token: end at WS
1780684924.432019 yylex_token: rotate-window
1780684924.432024 cmd_parse_build_commands 0:0: bind
1780684924.432028 cmd_parse_build_commands 0:1: -N
1780684924.432032 cmd_parse_build_commands 0:2: Rotate through the panes
1780684924.432036 cmd_parse_build_commands 0:3: C-o
1780684924.432040 cmd_parse_build_commands 0:4 0:0: rotate-window
1780684924.432045 cmd_parse_build_commands 0:0: rotate-window
1780684924.432051 args_parse: flags end at 1 of 1
1780684924.432055 cmd_parse_build_commands: rotate-window
1780684924.432059 args_parse_flags: next -N
1780684924.432063 args_parse_flag_argument: -N = Rotate through the panes
1780684924.432067 args_parse_flags: next C-o
1780684924.432071 args_parse: flags end at 3 of 5
1780684924.432075 args_parse: 3 = C-o (type STRING)
1780684924.432079 args_parse: 4 = rotate-window (type COMMANDS)
1780684924.432088 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1780684924.432093 cmdq_get_command: [bind-key/0xb8b030100] group 18
1780684924.432098 cmdq_append <global>: [bind-key/0xb8b030100]
1780684924.432103 yylex_token: end at WS
1780684924.432107 yylex_token: bind
1780684924.432111 yylex_token: end at WS
1780684924.432115 yylex_token: -N
1780684924.432121 yylex_token: end at WS
1780684924.432125 yylex_token: Suspend the current client
1780684924.432129 yylex_token: end at WS
1780684924.432133 yylex_token: C-z
1780684924.432137 yylex_token: end at WS
1780684924.432141 yylex_token: suspend-client
1780684924.432146 cmd_parse_build_commands 0:0: bind
1780684924.432150 cmd_parse_build_commands 0:1: -N
1780684924.432154 cmd_parse_build_commands 0:2: Suspend the current client
1780684924.432157 cmd_parse_build_commands 0:3: C-z
1780684924.432161 cmd_parse_build_commands 0:4 0:0: suspend-client
1780684924.432166 cmd_parse_build_commands 0:0: suspend-client
1780684924.432172 args_parse: flags end at 1 of 1
1780684924.432177 cmd_parse_build_commands: suspend-client
1780684924.432181 args_parse_flags: next -N
1780684924.432185 args_parse_flag_argument: -N = Suspend the current client
1780684924.432189 args_parse_flags: next C-z
1780684924.432193 args_parse: flags end at 3 of 5
1780684924.432197 args_parse: 3 = C-z (type STRING)
1780684924.432201 args_parse: 4 = suspend-client (type COMMANDS)
1780684924.432209 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1780684924.432214 cmdq_get_command: [bind-key/0xb8b030200] group 26
1780684924.432218 cmdq_append <global>: [bind-key/0xb8b030200]
1780684924.432223 yylex_token: end at WS
1780684924.432227 yylex_token: bind
1780684924.432231 yylex_token: end at WS
1780684924.432238 yylex_token: -N
1780684924.432244 yylex_token: end at WS
1780684924.432247 yylex_token: Select next layout
1780684924.432254 yylex_token: end at WS
1780684924.432259 yylex_token: Space
1780684924.432264 yylex_token: end at WS
1780684924.432268 yylex_token: next-layout
1780684924.432272 cmd_parse_build_commands 0:0: bind
1780684924.432276 cmd_parse_build_commands 0:1: -N
1780684924.432280 cmd_parse_build_commands 0:2: Select next layout
1780684924.432284 cmd_parse_build_commands 0:3: Space
1780684924.432288 cmd_parse_build_commands 0:4 0:0: next-layout
1780684924.432293 cmd_parse_build_commands 0:0: next-layout
1780684924.432298 args_parse: flags end at 1 of 1
1780684924.432302 cmd_parse_build_commands: next-layout
1780684924.432306 args_parse_flags: next -N
1780684924.432310 args_parse_flag_argument: -N = Select next layout
1780684924.432314 args_parse_flags: next Space
1780684924.432318 args_parse: flags end at 3 of 5
1780684924.432322 args_parse: 3 = Space (type STRING)
1780684924.432326 args_parse: 4 = next-layout (type COMMANDS)
1780684924.432334 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1780684924.432339 cmdq_get_command: [bind-key/0xb8b030300] group 34
1780684924.432343 cmdq_append <global>: [bind-key/0xb8b030300]
1780684924.432348 yylex_token: end at WS
1780684924.432352 yylex_token: bind
1780684924.432356 yylex_token: end at WS
1780684924.432359 yylex_token: -N
1780684924.432365 yylex_token: end at WS
1780684924.432369 yylex_token: Break pane to a new window
1780684924.432373 yylex_token: end at WS
1780684924.432376 yylex_token: !
1780684924.432381 yylex_token: end at WS
1780684924.432385 yylex_token: break-pane
1780684924.432389 cmd_parse_build_commands 0:0: bind
1780684924.432393 cmd_parse_build_commands 0:1: -N
1780684924.432397 cmd_parse_build_commands 0:2: Break pane to a new window
1780684924.432401 cmd_parse_build_commands 0:3: !
1780684924.432405 cmd_parse_build_commands 0:4 0:0: break-pane
1780684924.432410 cmd_parse_build_commands 0:0: break-pane
1780684924.432416 args_parse: flags end at 1 of 1
1780684924.432422 cmd_parse_build_commands: break-pane
1780684924.432426 args_parse_flags: next -N
1780684924.432430 args_parse_flag_argument: -N = Break pane to a new window
1780684924.432434 args_parse_flags: next !
1780684924.432438 args_parse: flags end at 3 of 5
1780684924.432442 args_parse: 3 = ! (type STRING)
1780684924.432446 args_parse: 4 = break-pane (type COMMANDS)
1780684924.432454 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1780684924.432459 cmdq_get_command: [bind-key/0xb8b030400] group 42
1780684924.432463 cmdq_append <global>: [bind-key/0xb8b030400]
1780684924.432467 yylex_token: end at WS
1780684924.432471 yylex_token: bind
1780684924.432475 yylex_token: end at WS
1780684924.432479 yylex_token: -N
1780684924.432484 yylex_token: end at WS
1780684924.432488 yylex_token: Split window vertically
1780684924.432492 yylex_token: end at WS
1780684924.432496 yylex_token: "
1780684924.432501 yylex_token: end at WS
1780684924.432504 yylex_token: split-window
1780684924.432509 cmd_parse_build_commands 0:0: bind
1780684924.432513 cmd_parse_build_commands 0:1: -N
1780684924.432517 cmd_parse_build_commands 0:2: Split window vertically
1780684924.432521 cmd_parse_build_commands 0:3: "
1780684924.432525 cmd_parse_build_commands 0:4 0:0: split-window
1780684924.432529 cmd_parse_build_commands 0:0: split-window
1780684924.432534 args_parse: flags end at 1 of 1
1780684924.432539 cmd_parse_build_commands: split-window
1780684924.432543 args_parse_flags: next -N
1780684924.432547 args_parse_flag_argument: -N = Split window vertically
1780684924.432551 args_parse_flags: next "
1780684924.432557 args_parse: flags end at 3 of 5
1780684924.432562 args_parse: 3 = " (type STRING)
1780684924.432566 args_parse: 4 = split-window (type COMMANDS)
1780684924.432574 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1780684924.432579 cmdq_get_command: [bind-key/0xb8b030500] group 50
1780684924.432583 cmdq_append <global>: [bind-key/0xb8b030500]
1780684924.432591 yylex_token: end at WS
1780684924.432595 yylex_token: bind
1780684924.432599 yylex_token: end at WS
1780684924.432603 yylex_token: -N
1780684924.432608 yylex_token: end at WS
1780684924.432612 yylex_token: List all paste buffers
1780684924.432616 yylex_token: end at WS
1780684924.432620 yylex_token: #
1780684924.432624 yylex_token: end at WS
1780684924.432630 yylex_token: list-buffers
1780684924.432635 cmd_parse_build_commands 0:0: bind
1780684924.432639 cmd_parse_build_commands 0:1: -N
1780684924.432643 cmd_parse_build_commands 0:2: List all paste buffers
1780684924.432647 cmd_parse_build_commands 0:3: #
1780684924.432651 cmd_parse_build_commands 0:4 0:0: list-buffers
1780684924.432655 cmd_parse_build_commands 0:0: list-buffers
1780684924.432660 args_parse: flags end at 1 of 1
1780684924.432665 cmd_parse_build_commands: list-buffers
1780684924.432669 args_parse_flags: next -N
1780684924.432673 args_parse_flag_argument: -N = List all paste buffers
1780684924.432677 args_parse_flags: next #
1780684924.432680 args_parse: flags end at 3 of 5
1780684924.432684 args_parse: 3 = # (type STRING)
1780684924.432689 args_parse: 4 = list-buffers (type COMMANDS)
1780684924.432696 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1780684924.432701 cmdq_get_command: [bind-key/0xb8b030600] group 58
1780684924.432705 cmdq_append <global>: [bind-key/0xb8b030600]
1780684924.432709 yylex_token: end at WS
1780684924.432713 yylex_token: bind
1780684924.432717 yylex_token: end at WS
1780684924.432721 yylex_token: -N
1780684924.432726 yylex_token: end at WS
1780684924.432730 yylex_token: Rename current session
1780684924.432734 yylex_token: end at WS
1780684924.432738 yylex_token: $
1780684924.432743 yylex_token: end at WS
1780684924.432746 yylex_token: command-prompt
1780684924.432751 yylex_token: end at WS
1780684924.432754 yylex_token: -I#S
1780684924.432759 yylex_token: end at WS
1780684924.432763 yylex_token: rename-session
1780684924.432767 yylex_token: end at WS
1780684924.432771 yylex_token: --
1780684924.432775 yylex_token: end at WS
